Hisse Kodu,Hisse Adı,Şehir
NTHOL,NET HOLDİNG,İSTANBUL
OBAMS,OBA MAKARNACILIK SANAYİ VE TİCARET,GAZİANTEP
ODAS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET,İSTANBUL
OTKAR,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ,İSTANBUL
OYAKC,OYAK ÇİMENTO FABRİKALARI,ANKARA
PAPIL,PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET,ANKARA
PASEU,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET,ANKARA
PEKGY,PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI,İSTANBUL
PETKM,PETKİM PETROKİMYA HOLDİNG,İZMİR
PGSUS,PEGASUS HAVA TAŞIMACILIĞI,İSTANBUL
QUAGR,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET,AYDIN
REEDR,REEDER TEKNOLOJİ SANAYİ VE TİCARET,SAMSUN
RGYAS,RÖNESANS GAYRİMENKUL YATIRIM,ANKARA
SAHOL,HACI ÖMER SABANCI HOLDİNG,İSTANBUL
SASA,SASA POLYESTER SANAYİ,ADANA
SAYAS,SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET,İZMİR
SDTTR,SDT UZAY VE SAVUNMA TEKNOLOJİLERİ,ANKARA
SELEC,SELÇUK ECZA DEPOSU TİCARET VE SANAYİ,İSTANBUL
SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI,İSTANBUL
SMRTG,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET,İSTANBUL
SOKM,ŞOK MARKETLER TİCARET,İSTANBUL
TABGD,TAB GIDA SANAYİ VE TİCARET,İSTANBUL
TAVHL,TAV HAVALİMANLARI HOLDİNG,İSTANBUL
TCELL,TURKCELL İLETİŞİM HİZMETLERİ,İSTANBUL
THYAO,TÜRK HAVA YOLLARI,İSTANBUL
TKFEN,TEKFEN HOLDİNG,İSTANBUL
TKNSA,TEKNOSA İÇ VE DIŞ TİCARET,İSTANBUL
TMSN,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ,İSTANBUL
TOASO,TOFAŞ TÜRK OTOMOBİL FABRİKASI,İSTANBUL
TSPOR,TRABZONSPOR SPORTİF YATIRIM VE FUTBOL İŞLETMECİLİĞİ TİCARET,TRABZON
TTKOM,TÜRK TELEKOMÜNİKASYON,ANKARA
